Date,Open,High,Low,Close,Adj Close,Volume
2013-01-02,79.117142,79.285713,77.375717,78.432854,68.502106,140129500
2013-01-03,78.268570,78.524284,77.285713,77.442856,67.637436,88241300
2013-01-04,76.709999,76.947144,75.118568,75.285713,65.753418,148583400
2013-01-07,74.571426,75.614288,73.599998,74.842857,65.366646,121039100
2013-01-08,75.601425,75.984283,74.464287,75.044289,65.542587,114676800
2013-01-09,74.642860,75.001427,73.712860,73.871429,64.518211,101901100
2013-01-10,75.507141,75.531425,73.645714,74.787140,65.317978,150286500
2013-01-11,74.428574,75.045715,74.145714,74.328575,64.917465,87626700
2013-01-14,71.811432,72.500000,71.215714,71.678574,62.602997,183551900
2013-01-15,71.185715,71.284286,69.054283,69.417145,60.627903,219193100
2013-01-16,70.662857,72.777145,70.357140,72.298569,63.144505,172701200
2013-01-17,72.901428,72.964287,71.718575,71.811432,62.719036,113419600
2013-01-18,71.217140,71.745712,70.914284,71.428574,62.384659,118230700
2013-01-22,72.080002,72.554283,70.947144,72.110001,62.979813,115386600
2013-01-23,72.687141,73.570000,72.110001,73.430000,64.132660,215377400
2013-01-24,65.714287,66.532860,64.321426,64.357140,56.208576,365213100
2013-01-25,64.527145,65.175713,62.142857,62.840000,54.883522,302006600
2013-01-28,62.547142,64.744286,62.265713,64.261429,56.124973,196379400
2013-01-29,65.500000,65.742859,64.588570,65.467140,57.178040,142789500
2013-01-30,65.285713,66.085716,64.928574,65.261429,56.998371,104288800
2013-01-31,65.282860,65.611427,64.997147,65.070000,56.831169,79833600
2013-02-01,65.587143,65.639999,64.050003,64.802856,56.597866,134871100
2013-02-04,64.844284,65.134285,63.142857,63.188572,55.187954,119279300
2013-02-05,63.435715,65.677139,63.174286,65.405716,57.124386,143336900
2013-02-06,65.209999,66.642860,64.654289,65.335716,57.063232,148426600
2013-02-07,66.178574,67.142860,64.874283,66.888573,58.759972,176145200
2013-02-08,67.714287,68.401428,66.892860,67.854286,59.608299,158289600
2013-02-11,68.071426,69.277145,67.607140,68.561432,60.229511,129372600
2013-02-12,68.501427,68.911430,66.820000,66.842857,58.719791,152263300
2013-02-13,66.744286,67.662857,66.174286,66.715714,58.608109,118801900
2013-02-14,66.360001,67.377144,66.288574,66.655716,58.555386,88818800
2013-02-15,66.978569,67.165718,65.702858,65.737144,57.748447,97936300
2013-02-19,65.871429,66.104286,64.835716,65.712860,57.727119,108945900
2013-02-20,65.384285,65.384285,64.114288,64.121429,56.329094,119075600
2013-02-21,63.714287,64.167145,63.259998,63.722858,55.978954,111795600
2013-02-22,64.178574,64.514282,63.799999,64.401428,56.575054,82663700
2013-02-25,64.835716,65.017143,63.224285,63.257141,55.569828,93144800
2013-02-26,63.402859,64.505714,62.522858,64.138573,56.344151,125374900
2013-02-27,64.061432,64.634285,62.950001,63.509998,55.791965,146837600
2013-02-28,63.435715,63.981430,63.057144,63.057144,55.394138,80628800
2013-03-01,62.571430,62.597141,61.425713,61.495716,54.022476,138112100
2013-03-04,61.114285,61.171429,59.857143,60.007141,52.714779,145688900
2013-03-05,60.211430,62.169998,60.107143,61.591427,54.106544,159608400
2013-03-06,62.072857,62.178570,60.632858,60.808571,53.418827,115062500
2013-03-07,60.642857,61.715714,60.151428,61.511429,54.036263,117118400
2013-03-08,61.400002,62.204285,61.230000,61.674286,54.179344,97870500
2013-03-11,61.392857,62.715714,60.734287,62.552856,54.951145,118559000
2013-03-12,62.228573,62.697144,61.081429,61.204285,53.766449,116477900
2013-03-13,61.207142,62.071430,60.765713,61.192856,53.756413,101387300
2013-03-14,61.832859,62.091427,61.492859,61.785713,54.277225,75968900
2013-03-15,62.561428,63.461430,62.464287,63.380001,55.677765,160990200
2013-03-18,63.064285,65.351425,63.028572,65.102859,57.191257,151549300
2013-03-19,65.642860,65.852859,64.071426,64.927139,57.036888,131693800
2013-03-20,65.345711,65.375717,64.227142,64.582855,56.734432,77165200
2013-03-21,64.317146,65.425713,64.300003,64.675713,56.816010,95813900
2013-03-22,64.940002,66.014282,64.730003,65.987144,57.968079,98776300
2013-03-25,66.384285,67.135712,65.968575,66.225716,58.177643,125283900
2013-03-26,66.491432,66.548569,65.790001,65.877144,57.871433,73573500
2013-03-27,65.208572,65.257141,64.389999,64.582855,56.734432,82809300
2013-03-28,64.260002,64.545715,63.088570,63.237144,55.552261,110709900
2013-04-01,63.128571,63.385715,61.105713,61.272858,53.826683,97433000
2013-04-02,61.085712,62.591427,60.914288,61.398571,53.937122,132379800
2013-04-03,61.624287,62.468571,61.472858,61.712856,54.213223,90804000
2013-04-04,61.965714,62.142857,60.750000,61.102856,53.677345,89611900
2013-04-05,60.642857,60.707142,59.954285,60.457142,53.110111,95923800
2013-04-08,60.692856,61.071430,60.355713,60.887142,53.487854,75207300
2013-04-09,60.908573,61.214287,60.392857,60.997143,53.584476,76653500
2013-04-10,61.157143,62.437141,60.858570,62.241428,54.677567,93982000
2013-04-11,61.959999,62.570000,61.599998,62.047142,54.506878,82091100
2013-04-12,62.021427,62.021427,61.298573,61.400002,53.938385,59653300
2013-04-15,61.000000,61.127144,59.935715,59.978573,52.689701,79380000
2013-04-16,60.224285,60.944286,60.081429,60.891430,53.491623,76442800
2013-04-17,60.038570,60.085712,56.872856,57.542858,50.549980,236264000
2013-04-18,57.855713,57.970001,55.677143,56.007141,49.200882,166574800
2013-04-19,55.424286,57.085712,55.014286,55.790001,49.010136,152318600
2013-04-22,56.091427,57.457142,55.895714,56.952858,50.031677,107480100
2013-04-23,57.712856,58.340000,56.972858,58.018570,50.967876,166059600
2013-04-24,56.220001,59.321430,56.071430,57.922855,50.883793,242412800
2013-04-25,58.747143,59.134285,58.142857,58.340000,51.250248,96209400
2013-04-26,58.544285,59.824287,58.321430,59.599998,52.357132,191024400
2013-04-29,60.064285,61.945713,60.000000,61.445713,53.978531,160081600
2013-04-30,62.157143,63.607143,61.724285,63.254284,55.567314,172884600
2013-05-01,63.494286,63.561428,62.055714,62.755714,55.129337,126727300
2013-05-02,63.111427,64.084282,62.947144,63.645714,55.911182,105457100
2013-05-03,64.472855,64.747147,64.164284,64.282860,56.470890,90325200
2013-05-06,65.101425,66.028572,64.901428,65.815712,57.817474,124160400
2013-05-07,66.424286,66.535713,64.814285,65.522858,57.560219,120938300
2013-05-08,65.577141,66.481430,65.115715,66.262856,58.210285,118149500
2013-05-09,65.687141,66.142860,65.082855,65.252853,57.702438,99621900
2013-05-10,65.424286,65.672859,64.354286,64.709999,57.222412,83713000
2013-05-13,64.501427,65.414284,64.500000,64.962860,57.445999,79237200
2013-05-14,64.835716,65.028572,63.164288,63.408573,56.071560,111779500
2013-05-15,62.737144,63.000000,60.337143,61.264286,54.175392,185403400
2013-05-16,60.462856,62.549999,59.842857,62.082859,54.899250,150801000
2013-05-17,62.721428,62.869999,61.572857,61.894287,54.732491,106976100
2013-05-20,61.701427,63.685715,61.442856,63.275715,55.954071,112894600
